# ell tt ee te bb
2.000000000000000000e+00 1.068623902125882296e+03 3.253780716210984136e-02 2.760834196807120389e+00 1.912902503161916076e-06
3.000000000000000000e+00 5.059864888259757549e+02 2.091214523577795276e-02 1.546931747185982475e+00 1.913328792051891574e-06
4.000000000000000000e+00 2.874408952081525399e+02 1.091421630801696525e-02 8.708037341965287892e-01 1.913890722863794054e-06
5.000000000000000000e+00 1.835718059356718754e+02 4.875950841043922429e-03 4.946127926399278008e-01 1.914582920616197133e-06
6.000000000000000000e+00 1.271985897064235047e+02 1.954641570968158187e-03 2.847757349252151293e-01 1.915398858941341806e-06
7.000000000000000000e+00 9.352779967991959609e+01 7.921235468391410722e-04 1.678351473385455983e-01 1.916330980577990206e-06
8.000000000000000000e+00 7.185844252487892447e+01 3.957997147622314537e-04 1.030808121255598203e-01 1.917370839271734359e-06
9.000000000000000000e+00 5.720175602139540416e+01 2.537069675220989776e-04 6.771493743444827185e-02 1.918509249640935346e-06
1.000000000000000000e+01 4.675613458597268135e+01 1.775312100061568108e-04 4.861518372242449454e-02 1.919736454161124207e-06
1.100000000000000000e+01 3.905023397321157574e+01 1.249932558290306223e-04 3.840054243458918687e-02 1.921042294475734161e-06
1.200000000000000000e+01 3.324211109819309229e+01 9.255574596451324773e-05 3.282058343658338789e-02 1.922416386317945196e-06
1.300000000000000000e+01 2.872213115204201017e+01 7.626598755336987947e-05 2.949379966457033389e-02 1.923848293022943013e-06
1.400000000000000000e+01 2.511866969729218724e+01 6.890644644782238962e-05 2.719942191898517408e-02 1.925327695195681762e-06
1.500000000000000000e+01 2.220507079826854380e+01 6.522866746965976317e-05 2.538239931630291782e-02 1.926844551876780168e-06
1.600000000000000000e+01 1.982246277457126027e+01 6.361034949705511230e-05 2.382845229472843607e-02 1.928389250165265238e-06
1.700000000000000000e+01 1.784864193796326859e+01 6.424075540583689043e-05 2.246160109566640306e-02 1.929952738446954325e-06
1.800000000000000000e+01 1.617862954110044527e+01 6.718023011318751488e-05 2.125390873009658579e-02 1.931526644378836055e-06
1.900000000000000000e+01 1.477313999283883739e+01 7.188031606794741840e-05 2.024320335541325913e-02 1.933103371155309226e-06
2.000000000000000000e+01 1.355991904718285213e+01 7.755594145875566604e-05 1.935512082435878606e-02 1.934676174510494953e-06
2.100000000000000000e+01 1.250908663309876800e+01 8.377079997862227855e-05 1.858602357508300565e-02 1.936239215192882363e-06
2.200000000000000000e+01 1.159262048893183561e+01 9.034256006876821489e-05 1.790225926924835995e-02 1.937787589680817216e-06
2.300000000000000000e+01 1.078758269510555046e+01 9.713366988479709460e-05 1.727553752271031307e-02 1.939317338629305890e-06
2.400000000000000000e+01 1.007654913481078651e+01 1.039660908569731498e-04 1.666695050738953646e-02 1.940825432586356489e-06
2.500000000000000000e+01 9.445084000203706864e+00 1.107508014263778386e-04 1.603983027830729186e-02 1.942309736474591900e-06
2.600000000000000000e+01 8.880832307756088895e+00 1.174949113614609584e-04 1.539769229224860134e-02 1.943768954744680621e-06
2.700000000000000000e+01 8.375038677503946261e+00 1.242721271449852196e-04 1.473377530455753301e-02 1.945202563170526057e-06
2.800000000000000000e+01 7.919320014094595628e+00 1.311719541279459170e-04 1.405827847415691209e-02 1.946610721198478408e-06
2.900000000000000000e+01 7.507243099172297818e+00 1.382322215178643956e-04 1.338922215351037032e-02 1.947994174432916066e-06
3.000000000000000000e+01 7.133268001073323816e+00 1.454263133947789998e-04 1.273337733306169686e-02 1.949354151201353011e-06
3.100000000000000000e+01 6.791529707351332767e+00 1.527264680172921857e-04 1.209456025248921429e-02 1.950692249010707302e-06
3.200000000000000000e+01 6.479276670512752467e+00 1.601247454989891878e-04 1.147275352636997932e-02 1.952010323793977743e-06
3.300000000000000000e+01 6.193068859843437579e+00 1.675847256257180680e-04 1.086430929749772865e-02 1.953310376913546156e-06
3.400000000000000000e+01 5.929789055011963406e+00 1.750915826164564843e-04 1.026250892504536674e-02 1.954594446073839107e-06
3.500000000000000000e+01 5.687048780217218713e+00 1.826342086435489575e-04 9.668091081609972437e-03 1.955864504107867712e-06
3.600000000000000000e+01 5.462382159387782821e+00 1.901711138930514493e-04 9.080932408015570875e-03 1.957122367786155632e-06
3.700000000000000000e+01 5.253823665568780221e+00 1.976837201150099784e-04 8.496684369583572954e-03 1.958369616201917053e-06
3.800000000000000000e+01 5.060304388883042570e+00 2.051913110950217536e-04 7.911441175631193576e-03 1.959607524800220852e-06
3.900000000000000000e+01 4.880365798750096573e+00 2.127046974198046618e-04 7.327290283585187643e-03 1.960837010166545452e-06
4.000000000000000000e+01 4.712590564350191968e+00 2.202301146100635971e-04 6.747234602831422325e-03 1.962058593071742697e-06
4.100000000000000000e+01 4.555682210004790456e+00 2.277679630338292531e-04 6.173970773313676962e-03 1.963272380327521893e-06
4.200000000000000000e+01 4.408684526149428073e+00 2.352991148007247107e-04 5.610475943362410942e-03 1.964478050420513946e-06
4.300000000000000000e+01 4.270746001016582305e+00 2.428026609553669054e-04 5.058010201942985708e-03 1.965674872491714474e-06
4.400000000000000000e+01 4.141220793568105130e+00 2.502626801672727750e-04 4.513165246758522008e-03 1.966861723208181562e-06
4.500000000000000000e+01 4.019554506049584752e+00 2.576884790503938664e-04 3.974839853241800974e-03 1.968037124232556743e-06
4.600000000000000000e+01 3.904913376541642833e+00 2.650831033135274883e-04 3.444171387122069421e-03 1.969199290586165325e-06
4.700000000000000000e+01 3.796540157646603575e+00 2.724370811661471479e-04 2.921850806651445434e-03 1.970346188078549866e-06
4.800000000000000000e+01 3.694023499369794905e+00 2.797296100084762315e-04 2.406175297617177411e-03 1.971475598378123014e-06
4.900000000000000000e+01 3.597101512183834782e+00 2.869436185994244585e-04 1.895316623630332676e-03 1.972585186344039601e-06
5.000000000000000000e+01 3.505612618069660513e+00 2.940897759383848706e-04 1.388273683150599439e-03 1.973672571911181267e-06
5.100000000000000000e+01 3.419130178131554842e+00 3.011689145469485210e-04 8.856383995170191920e-04 1.974735404171014698e-06
5.200000000000000000e+01 3.337043760377170099e+00 3.081761683940071380e-04 3.898769761271647129e-04 1.975771431636693933e-06
5.300000000000000000e+01 3.258829826514471950e+00 3.151000335177501143e-04 -9.691260234604132768e-05 1.976778567535917891e-06
5.400000000000000000e+01 3.184263341081242871e+00 3.219345266589629796e-04 -5.745871277556602102e-04 1.977754952054340977e-06
5.500000000000000000e+01 3.113198001303367768e+00 3.286783530139833335e-04 -1.043765620906755148e-03 1.978699002806890557e-06
5.600000000000000000e+01 3.045682796361544487e+00 3.353196651387314116e-04 -1.506091986509370054e-03 1.979609462587417650e-06
5.700000000000000000e+01 2.981571596317511119e+00 3.418566507690780853e-04 -1.962301130894685778e-03 1.980485430066931498e-06
5.800000000000000000e+01 2.920424059023030594e+00 3.482941439970217408e-04 -2.411632906658338609e-03 1.981326385337955436e-06
5.900000000000000000e+01 2.861819102026277317e+00 3.546359871665940287e-04 -2.853340680814245474e-03 1.982132202648607613e-06
6.000000000000000000e+01 2.805694007211002372e+00 3.608652808507020510e-04 -3.287638254954102814e-03 1.982903149120394711e-06
6.100000000000000000e+01 2.752071020502864673e+00 3.669657198184805044e-04 -3.715013284183135873e-03 1.983639878561226217e-06
6.200000000000000000e+01 2.700884703541687859e+00 3.729272661360248414e-04 -4.135855955583212298e-03 1.984343409766286591e-06
6.300000000000000000e+01 2.651921560490021257e+00 3.787576000418760151e-04 -4.549630987212341209e-03 1.985015099381110490e-06
6.400000000000000000e+01 2.604926037450619347e+00 3.844663512837243058e-04 -4.955642342303719777e-03 1.985656604217149625e-06
6.500000000000000000e+01 2.559722770977844064e+00 3.900613689438636646e-04 -5.353441075674742096e-03 1.986269840901692631e-06
6.600000000000000000e+01 2.516282701763817187e+00 3.955249792056351587e-04 -5.743186580426223528e-03 1.986856934522316766e-06
6.700000000000000000e+01 2.474617422145047652e+00 4.008419884709703111e-04 -6.125165491046301834e-03 1.987420170048468416e-06
6.800000000000000000e+01 2.434710827615745199e+00 4.059985263878666427e-04 -6.499584652690478144e-03 1.987961937749713686e-06
6.900000000000000000e+01 2.396449726174489925e+00 4.109941561536401239e-04 -6.866385659905195615e-03 1.988484681753779611e-06
7.000000000000000000e+01 2.359727597048868475e+00 4.158319030839024966e-04 -7.225706318231090927e-03 1.988990848211955785e-06
7.100000000000000000e+01 2.324432358860428760e+00 4.205173280584644803e-04 -7.577808761510207436e-03 1.989482838142563661e-06
7.200000000000000000e+01 2.290532376824553129e+00 4.250538995996034665e-04 -7.923212960171763936e-03 1.989962962643322911e-06
