# ell tt ee te bb
2.000000000000000000e+00 1.068621346863063536e+03 3.253646634381890390e-02 2.760834219268545109e+00 5.720842536688983655e-07
3.000000000000000000e+00 5.059839402784525646e+02 2.091080411903010333e-02 1.546931797234711858e+00 5.722122468074653462e-07
4.000000000000000000e+00 2.874383554860361301e+02 1.091287479767251607e-02 8.708038204789371184e-01 5.723809678224747172e-07
5.000000000000000000e+00 1.835692770425280855e+02 4.874608845605253246e-03 4.946129236737794033e-01 5.725888040527670523e-07
6.000000000000000000e+00 1.271960735168393057e+02 1.953299003388789170e-03 2.847759189531062218e-01 5.728337973744801854e-07
7.000000000000000000e+00 9.352529791971876705e+01 7.907803252678218334e-04 1.678353922600158143e-01 5.731136803448737359e-07
8.000000000000000000e+00 7.185595675436721308e+01 3.944557632150242645e-04 1.030811254476292488e-01 5.734259187877913399e-07
9.000000000000000000e+00 5.719928762194329863e+01 2.523622164699522137e-04 6.771532623175624543e-02 5.737677567405983288e-07
1.000000000000000000e+01 4.675368475016138348e+01 1.761855968762012230e-04 4.861565460511167724e-02 5.741362665129572093e-07
1.100000000000000000e+01 3.904780369868253587e+01 1.236467254133366469e-04 3.840110152346660338e-02 5.745284001376503347e-07
1.200000000000000000e+01 3.323970118525237893e+01 9.120825073447182520e-05 3.282123634541324331e-02 5.749410418238498701e-07
1.300000000000000000e+01 2.871974220498215047e+01 7.491748787901748733e-05 2.949455148927115217e-02 5.753710600054623866e-07
1.400000000000000000e+01 2.511630212930726103e+01 6.755691072442377375e-05 2.720027723347330159e-02 5.758153582485000642e-07
1.500000000000000000e+01 2.220272483975597666e+01 6.387807215509568753e-05 2.538336217455748611e-02 5.762709236110301635e-07
1.600000000000000000e+01 1.982013848453765803e+01 6.225867906561480074e-05 2.382952623854167271e-02 5.767348715313220537e-07
1.700000000000000000e+01 1.784633921818430125e+01 6.288800222435933973e-05 2.246278916742715931e-02 5.772044858017232729e-07
1.800000000000000000e+01 1.617634815262700343e+01 6.582639424954338800e-05 2.125521348985783335e-02 5.776772539764819847e-07
1.900000000000000000e+01 1.477087957439595733e+01 7.052540503999705948e-05 2.024462690141853524e-02 5.781508962604995764e-07
2.000000000000000000e+01 1.355767913497396471e+01 7.619996993565915388e-05 1.935666481615003556e-02 5.786233886164153999e-07
2.100000000000000000e+01 1.250686668150765968e+01 8.241378944402239946e-05 1.858768925828516508e-02 5.790929785246947005e-07
2.200000000000000000e+01 1.159041989160765951e+01 8.898453845796499748e-05 1.790404750112391599e-02 5.795581942055443994e-07
2.300000000000000000e+01 1.078540080592272687e+01 9.577467120759302721e-05 1.727744879760072585e-02 5.800178471659744123e-07
2.400000000000000000e+01 1.007438528821521828e+01 1.026061548167923475e-04 1.666898498120787317e-02 5.804710279263459648e-07
2.500000000000000000e+01 9.442937530488372033e+00 1.093899730458940009e-04 1.604198779131655109e-02 5.809170953754021305e-07
2.600000000000000000e+01 8.878702566852018307e+00 1.161332406242810062e-04 1.539997238945036220e-02 5.813556603265753978e-07
2.700000000000000000e+01 8.372925050925143609e+00 1.229096686645559202e-04 1.473617725312267174e-02 5.817865650637481800e-07
2.800000000000000000e+01 7.917221934736158317e+00 1.298087668475675707e-04 1.406080127745123164e-02 5.822098570530307022e-07
2.900000000000000000e+01 7.505160058727942562e+00 1.368683684490163647e-04 1.339186456139875546e-02 5.826257596932283784e-07
3.000000000000000000e+01 7.131199558909721681e+00 1.440618614000671225e-04 1.273613784831123356e-02 5.830346412871493049e-07
3.100000000000000000e+01 6.789475496750116079e+00 1.513614876375753691e-04 1.209743713323051424e-02 5.834369809775411289e-07
3.200000000000000000e+01 6.477236402264599846e+00 1.587593108293931376e-04 1.147574478471218885e-02 5.838333355192554778e-07
3.300000000000000000e+01 6.191042323250328216e+00 1.662189142378982362e-04 1.086741269452306570e-02 5.842243053739779888e-07
3.400000000000000000e+01 5.927776116421523689e+00 1.737254755251037850e-04 1.026572196252918505e-02 5.846105019752609863e-07
3.500000000000000000e+01 5.685049379275236348e+00 1.812678903144824139e-04 9.671410990919346654e-03 5.849925173546834769e-07
3.600000000000000000e+01 5.460396303249935634e+00 1.888046722886641546e-04 9.084356136730109901e-03 5.853708967713092881e-07
3.700000000000000000e+01 5.251851421358985306e+00 1.963172467698477989e-04 8.500208566454317896e-03 5.857461142137348406e-07
3.800000000000000000e+01 5.058345874722515845e+00 2.038249012163297449e-04 7.915062174545146184e-03 5.861185525937975701e-07
3.900000000000000000e+01 4.878421173707522485e+00 2.113384500027951877e-04 7.331004087233222721e-03 5.864884871621943920e-07
4.000000000000000000e+01 4.710660017678780953e+00 2.188641325617843140e-04 6.751036866785495132e-03 5.868560744074909821e-07
4.100000000000000000e+01 4.553765950036415155e+00 2.264023532993691761e-04 6.177856791205495017e-03 5.872213466010092621e-07
4.200000000000000000e+01 4.406782769209590889e+00 2.339339884750314528e-04 5.614440633821052989e-03 5.875842074551656337e-07
4.300000000000000000e+01 4.268858960707300199e+00 2.414381333851900067e-04 5.062048097894625114e-03 5.879444378204063184e-07
4.400000000000000000e+01 4.139348670739559033e+00 2.488988710241097193e-04 4.517270487619594321e-03 5.883017007208543333e-07
